ID  Name   lmin       lmax
1   C-C     0.01       1.6
2   C-H     0.01       1.2
3   C-O     0.01       1.4
5   Sn-C    0.01       2.3
6   S-O    0.01       2.6
7   Sn-F    0.01       3.0
8   F-F     0.01       2.0
9   Sn-Cl   0.01       3.0
10  Cl-Cl   0.01       2.0
11  C-N     0.01       2.0
12  N-H     0.01       1.4
13  N-O     0.01       2.0
14  C-S     0.01       2.0
15  Ti-O    0.01       2.5
16  C-F     0.01       1.6
17  H-H     0.01       1.0
18  C-Cl    0.01       1.9
20  Br-C    0.01       2.1
21  N-N     0.01       1.6
